                     YrSold    MoSold  mortgage_interest  inflation_rates  OverallQual  OverallCond  GrLivArea  TotalBsmtSF  GarageCars  GarageArea  YearBuilt  YearRemodAdd  SalePrice   LotArea
YrSold             1.000000 -0.145721          -0.942707        -0.782607    -0.027347     0.043950  -0.036526    -0.014969   -0.039117   -0.027378  -0.013618      0.035743  -0.028923 -0.014261
MoSold            -0.145721  1.000000           0.146745         0.052421     0.070815    -0.003511   0.050240     0.013196    0.040522    0.027974   0.012398      0.021490   0.046432  0.001205
mortgage_interest -0.942707  0.146745           1.000000         0.905610     0.028437    -0.010651   0.035418     0.015882    0.025311    0.021149   0.003640     -0.026043   0.026627  0.018220
inflation_rates   -0.782607  0.052421           0.905610         1.000000     0.021381     0.017639   0.022692     0.008505   -0.001442    0.002073  -0.007836     -0.030653   0.016435  0.016329
OverallQual       -0.027347  0.070815           0.028437         0.021381     1.000000    -0.091932   0.593007     0.537808    0.600671    0.562022   0.572323      0.550684   0.790982  0.105806
OverallCond        0.043950 -0.003511          -0.010651         0.017639    -0.091932     1.000000  -0.079686    -0.171098   -0.185758   -0.151521  -0.375983      0.073741  -0.077856 -0.005636
GrLivArea         -0.036526  0.050240           0.035418         0.022692     0.593007    -0.079686   1.000000     0.454868    0.467247    0.468997   0.199010      0.287389   0.708624  0.263116
TotalBsmtSF       -0.014969  0.013196           0.015882         0.008505     0.537808    -0.171098   0.454868     1.000000    0.434585    0.486665   0.391452      0.291066   0.613581  0.260833
GarageCars        -0.039117  0.040522           0.025311        -0.001442     0.600671    -0.185758   0.467247     0.434585    1.000000    0.882475   0.537850      0.420622   0.640409  0.154871
GarageArea        -0.027378  0.027974           0.021149         0.002073     0.562022    -0.151521   0.468997     0.486665    0.882475    1.000000   0.478954      0.371600   0.623431  0.180403
YearBuilt         -0.013618  0.012398           0.003640        -0.007836     0.572323    -0.375983   0.199010     0.391452    0.537850    0.478954   1.000000      0.592855   0.522897  0.014228
YearRemodAdd       0.035743  0.021490          -0.026043        -0.030653     0.550684     0.073741   0.287389     0.291066    0.420622    0.371600   0.592855      1.000000   0.507101  0.013788
SalePrice         -0.028923  0.046432           0.026627         0.016435     0.790982    -0.077856   0.708624     0.613581    0.640409    0.623431   0.522897      0.507101   1.000000  0.263843
LotArea           -0.014261  0.001205           0.018220         0.016329     0.105806    -0.005636   0.263116     0.260833    0.154871    0.180403   0.014228      0.013788   0.263843  1.000000
