Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,mortgage_interest,inflation_rates
1,60,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4.0,3.0,0.0,5.0,706,0.0,0,150,856,GasA,5,Y,1,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,3.461038961038961,Attchd,2003.0,2.0,2,548,3.0,3.0,1,0,61,0,0,0,0,,0,,0,2,2008,WD,Normal,208500,6.0272,2.8263
2,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,5,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,CBlock,4.0,3.0,0.0,4.0,978,0.0,0,284,1262,GasA,5,Y,1,1262,0,0,1262,0,0,2,0,3,1,3,6,Typ,1,3.0,Attchd,1976.0,2.0,2,460,3.0,3.0,1,298,0,0,0,0,0,,0,,0,5,2007,WD,Normal,181500,6.3373,2.6616
3,60,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4.0,3.0,0.0,5.0,486,0.0,0,434,920,GasA,5,Y,1,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,3.0,Attchd,2001.0,2.0,2,608,3.0,3.0,1,0,42,0,0,0,0,,0,,0,9,2008,WD,Normal,223500,6.0272,2.8263
4,70,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,3,3,BrkTil,3.0,3.0,0.0,4.0,216,0.0,0,540,756,GasA,4,Y,1,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,4.0,Detchd,1998.0,1.0,3,642,3.0,3.0,1,0,35,0,0,0,0,,0,,0,2,2006,WD,Abnorml,140000,6.4133,2.9006
5,60,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4.0,3.0,0.0,5.0,655,0.0,0,490,1145,GasA,5,Y,1,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,3.0,Attchd,2000.0,2.0,3,836,3.0,3.0,1,192,84,0,0,0,0,,0,,0,12,2008,WD,Normal,250000,6.0272,2.8263
6,50,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,Wood,4.0,3.0,0.0,5.0,732,0.0,0,64,796,GasA,5,Y,1,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,3.461038961038961,Attchd,1993.0,1.0,2,480,3.0,3.0,1,40,30,0,0,0,0,,0,Shed,0,10,2009,WD,Normal,143000,5.0365,0.1662
7,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,0.0,4,3,PConc,5.0,3.0,0.0,5.0,1369,0.0,0,317,1686,GasA,5,Y,1,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,4.0,Attchd,2004.0,2.0,2,636,3.0,3.0,1,255,57,0,0,0,0,,0,,0,8,2007,WD,Normal,163000,6.3373,2.6616
8,60,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,0.0,3,3,CBlock,4.0,3.0,0.0,4.0,859,0.0,0,216,1107,GasA,5,Y,1,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,3.0,Attchd,1973.0,2.0,2,484,3.0,3.0,1,235,25,0,0,0,0,,0,Shed,0,11,2009,WD,Normal,200000,5.0365,0.1662
9,50,RM,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0,0.0,0,952,952,GasA,4,Y,1,1022,752,0,1774,0,0,2,0,2,1,3,8,Min1,2,3.0,Detchd,1931.0,1.0,2,468,3.0,3.0,1,90,0,0,0,0,0,,0,,0,4,2008,WD,Abnorml,129900,6.0272,2.8263
10,190,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,BrkTil,3.0,3.0,0.0,5.0,851,0.0,0,140,991,GasA,5,Y,1,1077,0,0,1077,1,0,1,0,2,1,3,5,Typ,2,3.0,Attchd,1939.0,2.0,1,205,3.0,3.0,1,0,4,0,0,0,0,,0,,0,1,2008,WD,Normal,118000,6.0272,2.8263
